26	0.204217 0.788837 0.10172	15 8 8 8 8 8 15 15 8 60 8 15	1.381567 1.764562 1.764568 1.764568 1.764569 2.858976 2.90609 2.920124 2.965862 3.031379 3.255158 3.558525	0.554567
27	0.0334313 0.875564 0.115437	8 8 8 60 8 15 8 15 15 8 8 8	1.861393 1.861393 1.861393 1.886978 2.470738 2.571137 3.190925 3.25907 3.31602 3.413916 3.494044 3.711772	0.637978
28	0.270822 0.849678 0.0481972	8 8 8 8 15 8 15 15 15 8 8 8	1.913563 1.913564 1.913565 1.913566 2.066402 2.403252 2.421446 2.546628 2.624194 2.810087 3.199081 3.326755	0.703564
29	0.395608 0.939697 0.116658	15 8 8 8 8 8 8 8 15 8 8 15	2.135149 2.18841 2.188414 2.188419 2.188419 2.325841 2.819384 2.879228 2.991554 3.066701 3.099859 3.125733	0.978415
30	0.332797 0.897596 0.0595975	8 8 8 8 15 15 15 8 15 8 8 8	2.001762 2.001762 2.001762 2.001766 2.252349 2.543871 2.58 2.593575 2.88014 2.981812 3.006665 3.260743	0.791762
31	0.0215858 0.959536 0.00265608	8 8 8 8 8 8 15 8 15 8 8 8	2.425689 2.42569 2.425692 2.425694 2.725618 3.059208 3.125571 3.129071 3.222618 3.232417 3.25551 3.279997	1.21569
32	0.164344 0.946601 0.992333	8 8 8 8 15 15 8 15 8 15 8 8	1.989244 1.989244 1.989245 1.98925 2.100228 2.322209 2.393555 2.577817 2.773675 2.891282 3.228562 3.273673	0.779246
33	0.0353299 0.151275 0.0238924	8 8 8 8 15 8 15 8 8 15 8 8	2.240853 2.240853 2.240853 2.240854 2.644136 2.71986 3.014752 3.030235 3.119752 3.134178 3.244729 3.275262	1.03085
34	0.996758 0.0552425 0.015217	8 8 8 8 8 8 8 15 8 15 60 15	2.439006 2.439007 2.439012 2.439012 2.737481 2.884238 2.989051 3.080433 3.139408 3.170532 3.197376 3.319944	1.22901
35	0.179794 0.854625 0.240732	8 8 8 60 15 8 15 8 8 15 8 8	1.870364 1.870364 1.870364 1.895828 2.445162 2.49312 2.617387 2.752701 3.034712 3.076197 3.234007 3.280368	0.646828
